"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",112,0.627579332221799,2.49118810352884,1e-10,3.61136363636364e-08,2.85167464114833e-08,3802,"tags=57%, list=19%, signal=46%","6170/116832/6171/6235/51121/6227/6232/6189/11224/6129/6147/9349/6231/6144/6155/6165/6143/6168/6152/6234/6167/6166/6223/6201/6157/6233/7311/6154/6206/6169/6210/6176/6142/6181/25873/6209/6230/6158/6224/6160/6217/3921/6146/6161/4736/6159/51065/23521/6128/9045/6156/2197/388524/6205/6229/6130/6133/6164/6134/1915/6132/55651/6208/6228"
"GO:0072562","CC","GO:0072562","blood microparticle",104,0.608334145705611,2.38271400034678,1e-10,3.61136363636364e-08,2.85167464114833e-08,1564,"tags=34%, list=8%, signal=31%","28883/28930/28896/5004/3507/28919/3538/28908/5005/28793/28822/3502/3539/28913/28299/28912/58/28937/3514/2335/445582/3503/3494/713/348/1370/714/629/3512/1356/3310/28796/5216/116285/51686"
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex",289,0.501777240827752,2.25234510373584,1e-10,3.61136363636364e-08,2.85167464114833e-08,5070,"tags=54%, list=26%, signal=40%","9553/26521/140823/84311/1347/116540/1345/4707/51258/4726/4709/84833/84419/1337/29796/28998/4710/122704/118487/64979/10440/54539/790955/4708/4697/126328/51023/79135/4706/55967/51649/1351/51264/10476/25874/64975/56993/4717/1329/4715/581/6182/4694/1349/6183/63875/92259/6150/516/440567/1340/292/55052/54543/4695/51650/219927/7381/9377/51079/3396/116541/64968/521/4712/7388/10975/522/57129/1763/401505/51081/9556/4701/7818/78988/64928/4711/9551/90480/28957/4702/54460/54998/1350/26519/4713/65993/10632/26517/9167/27089/125988/6391/7386/3028/4704/440574/64949/29088/4725/10245/518/4728/29074/4714/29093/517/100188893/64963/11222/60488/64981/1678/51263/131118/90580/221154/51373/5245/23479/4722/65003/4724/7416/64983/4716/90871/10573/51069/10105/4580/128308/509/26589/515/84545/4720/54927/54534/1346/79590/64976/617/9692/84303/3419/51021/51642/374291/55013/29090/10452/1327/51103"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",265,0.488939161699245,2.17226346633028,1e-10,3.61136363636364e-08,2.85167464114833e-08,3897,"tags=40%, list=20%, signal=32%","3507/11006/3538/909/50615/28454/3502/2209/3539/2214/2210/154064/3514/910/930/259307/9156/3665/7292/80328/2212/941/80329/28434/4068/28834/56253/202309/3503/57823/50943/2529/3494/729230/6318/2207/2213/713/6504/3606/913/3002/695/714/84868/54440/9103/1380/57379/914/7409/114836/3598/100507436/1604/3575/712/54209/5788/5052/940/9214/3107/939/3136/7037/51571/912/51311/91543/3553/64005/3594/1235/11151/146850/2215/3902/3560/3586/1378/51010/925/3071/8772/3004/911/708/3251/10666/84174/7454/51561/10538/55061/4818/5777/1075/3146/2625/23705/7374/127544/5272/116449"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",288,0.476772361334835,2.13907042008872,1e-10,3.61136363636364e-08,2.85167464114833e-08,3363,"tags=33%, list=17%, signal=28%","3507/11006/3538/6046/909/50615/28454/3502/2209/3539/2214/2210/154064/3514/910/930/259307/9156/3665/7292/80328/64581/2212/941/80329/6556/430/28434/28834/202309/3503/50943/2529/3494/729230/51176/2207/2213/713/6504/3606/913/695/714/84868/54440/9103/1380/57379/89857/4063/114836/10148/3598/100507436/1604/3575/712/54209/5788/940/9214/3107/939/3136/7037/51571/912/51311/91543/3553/64005/3594/10673/1235/2215/3560/3586/1378/51010/925/3071/8772/10563/3004/911/708/3251/10666/84174/7454/51561/57089/3718/10538"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",353,0.454789806763991,2.08045070360173,1e-10,3.61136363636364e-08,2.85167464114833e-08,3897,"tags=38%, list=20%, signal=31%","3507/11006/3538/2922/909/50615/28454/3502/2209/3539/57126/2214/54210/2210/154064/3514/910/930/259307/26228/9156/3665/7292/80328/64581/2212/941/80329/28434/4068/28834/7462/56253/202309/3503/57823/50943/7305/2529/3494/729230/6318/2207/2213/713/6504/3606/913/3002/1511/695/714/284021/84868/54440/89886/9103/1380/57379/914/3689/7409/114836/3598/10814/100507436/1604/3575/401258/712/54209/5788/5052/940/9214/3107/939/3136/8673/7037/11314/51571/912/51311/91543/3553/388325/64005/3594/1235/11151/146850/5880/2215/3902/684/3560/3586/1378/2623/6372/51010/925/3071/8772/6688/3004/911/708/3251/136/10666/84174/1524/7454/51561/11334/3718/3684/10538/6284/55061/4818/50487/5777/8832/1075/3146/2625/23705/7374/4067/127544/5272/116449"
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane",467,0.428677886019029,2.01681979878952,1e-10,3.61136363636364e-08,2.85167464114833e-08,5895,"tags=52%, list=30%, signal=38%","2537/9553/100131801/26521/140823/84311/1347/116540/1345/4707/51258/4726/205251/4709/84833/84419/84709/1337/29796/28998/440957/4710/122704/118487/64979/10440/54539/790955/4708/4697/126328/51023/79135/4706/55967/51649/1351/51264/10476/25874/54968/64975/84300/4717/1329/137682/4715/91543/6182/4694/1349/6183/63875/92259/6150/516/54958/440567/1340/292/55052/9997/4695/51650/219927/7381/9377/51079/3396/116541/64968/521/4712/7388/548596/51537/10975/522/647087/57129/9016/54205/51081/9556/4701/7818/78988/64928/4711/9551/90480/28957/4702/54460/54998/1350/26519/4713/65993/10632/84233/26517/157739/9167/27089/89874/125988/79568/6391/7386/283951/4704/5832/150209/440574/64949/79133/29088/55969/4725/2021/192286/10245/401612/94081/518/4728/285521/29074/4714/29093/25880/517/94097/51805/51300/55744/64963/11222/6472/60488/64981/1678/51263/131118/90580/284723/221154/51373/5245/4722/60386/4067/65003/125965/51241/51522/4724/3052/64983/7298/30968/4716/55210/9131/90871/119559/11194/10573/51069/7351/10105/4580/3329/55863/128308/509/26589/515/84545/4720/54927/28958/54534/6834/23409/27235/83858/3945/1346/91942/79590/64976/389203/157378/617/25915/84303/51021/51642/134145/374291/55013/29090/10452/728568/1327/51103/55486/6188/114971/29078/10989/4537/192111/10651/93058/211/5625/4358/80273/65080/51117/1571/92170/26520/196294/54675/740/6341/84277/84275/23203/100287932/51629/80775/4833/28977/65005/513/51318/92609/4729/55173/81034"
"GO:0034329","BP","GO:0034329","cell junction assembly",417,-0.432213783108694,-1.9382588024067,1e-10,3.61136363636364e-08,2.85167464114833e-08,3650,"tags=34%, list=19%, signal=28%","6801/1855/4088/11037/1002/90102/29904/8829/54549/51208/204851/4641/375323/9423/8502/100528062/4208/4897/3728/9647/23129/23768/1828/1012/2049/387804/57463/9379/596/5783/347/49861/4884/7094/4038/55901/59272/1949/3691/79834/84189/8927/2042/4649/2562/266977/22998/342184/7481/51057/5802/5010/6093/1308/145581/4301/3915/10395/7855/3655/125111/1141/9075/627/869/9073/2824/26280/84623/94/1004/6585/56125/2241/9748/3791/64084/187/83660/149461/2564/90952/28316/3690/1969/2823/10391/324/10266/2701/395/221935/389941/23077/1812/94030/5175/9475/165257/577/2047/85358/3909/667/54674/2039/857/4131/92737/27445/22899/84631/10580/1010/9378/57502/1003/7010/151306/1813/10718/287/7368/7145/11141/4593/23284/4915/7122/9071/5021/22871/26045/6422/2555/11170/2890/2567/4653/347730/2565/28513"
"GO:0042391","BP","GO:0042391","regulation of membrane potential",393,-0.43453018449331,-1.93579655724418,1e-10,3.61136363636364e-08,2.85167464114833e-08,2843,"tags=29%, list=15%, signal=25%","375611/596/3753/388135/1829/3759/8912/2899/219736/8913/23345/79784/2562/124925/23171/23416/54831/23630/6326/2893/6640/3746/65018/2568/6327/50801/1141/3765/3783/666/869/153/152404/5071/1906/2560/66000/2894/134/6323/3791/6331/781/1080/9127/149461/56660/2564/10142/2257/2897/259232/5350/54532/11280/482/4297/8671/1812/3747/3777/55800/85358/859/6335/857/1268/9472/3752/6330/9378/57502/23415/2852/5348/3737/10060/1813/131096/3741/340273/287/6328/1756/348980/2273/3736/154/845/4915/9722/6332/1128/22871/477/6869/5649/2555/30819/100131897/2890/2567/29119/6329/2904/948/148/3745/401190/2891/4653/2565/10345"
"GO:0003012","BP","GO:0003012","muscle system process",405,-0.426950208318361,-1.90534098838768,1e-10,3.61136363636364e-08,2.85167464114833e-08,2746,"tags=29%, list=14%, signal=26%","1829/3759/8912/624/1193/59272/8837/8913/79784/4851/5152/493/3768/6641/5286/23171/5733/152/6093/2309/1410/23630/6326/6640/25802/9312/143872/3488/7273/29767/6327/1141/5465/2775/6338/7373/1906/5743/8470/5608/134/6323/6331/781/3572/9127/1131/2308/10142/2257/3356/390594/6263/5350/11280/407010/6442/1160/8654/1812/5028/9475/55800/859/1910/6335/4846/3479/857/9472/7402/2934/3752/4660/6330/7111/3815/9499/2852/10316/80763/5348/100507537/7140/10060/1813/3164/3741/3270/287/6328/1908/23336/1756/90523/3736/147/154/5468/845/151/9722/6332/5021/477/6869/32/28999/30819/4842/29119/93649/221476/6329/1674/148/4653/10345/3952"
"GO:0008015","BP","GO:0008015","blood circulation",464,-0.413497144030381,-1.87323118495392,1e-10,3.61136363636364e-08,2.85167464114833e-08,2864,"tags=29%, list=15%, signal=26%","388125/6196/3753/9839/1829/3759/8912/624/4886/1193/59272/2028/3779/8913/493/89797/491/3768/5286/10365/23171/152/6093/2837/9353/23630/3672/6326/6640/1727/143872/7273/6327/125111/5465/8864/6338/3680/4922/2865/153/94/1906/5743/5608/134/6323/4041/6331/781/1131/10142/5139/2257/3356/7068/57731/5125/10391/5350/10266/8870/11280/83483/482/407010/8654/79987/1812/5028/4012/9475/55800/859/6649/1910/2296/1579/654/284/185/6335/2034/4846/9283/857/1268/146/2934/3752/6456/1956/6330/552/2852/1003/80763/7010/5348/10060/1813/3741/3270/287/6328/1908/66002/1756/56670/147/9590/9365/154/5468/1816/845/151/9722/7122/6332/5021/477/554/27129/6869/4881/30819/4842/5138/29119/6329/1674/148/9370/10345/3952"
"GO:0044057","BP","GO:0044057","regulation of system process",485,-0.40640767025947,-1.84866561267597,1e-10,3.61136363636364e-08,2.85167464114833e-08,3718,"tags=33%, list=19%, signal=28%","23316/2982/9096/659/3625/10659/1855/4088/133/1889/65125/2740/5781/6781/9026/783/1408/2260/114897/64241/4856/121643/28954/3728/7133/26251/23175/400746/1959/3753/1829/3759/8912/624/1193/59272/8913/23345/4851/5152/493/491/3768/23171/5733/2255/152/6093/2309/1582/23630/4099/11076/6640/10810/9312/143872/3488/6327/125111/5465/8864/57596/869/3680/58494/153/152404/1906/5743/66000/134/6331/781/3572/1131/2308/10142/2257/3356/390594/7068/9229/57731/10391/5350/482/6442/8654/79987/9475/55800/85358/859/118738/1910/654/185/2034/4846/3479/118471/857/9472/146/3752/1956/4660/6330/9378/552/57502/3815/2852/80763/5348/11343/100507537/7140/10060/1813/3164/358/3741/3270/287/1908/1393/1756/90523/3736/147/154/5468/845/151/9722/5021/22871/477/55273/554/27129/6869/4881/32/5649/30819/4842/2587/6663/29119/93649/221476/6329/1674/58503/2904/148/9370/10345/3952"
"GO:0010876","BP","GO:0010876","lipid localization",432,-0.415706894125317,-1.87017999360572,1.35789754985061e-10,4.69065044937524e-08,3.70392192087396e-08,3426,"tags=30%, list=17%, signal=25%","8694/54832/55187/55867/114882/5781/1381/1408/23130/4040/57047/25987/114897/718/29801/64241/9536/57088/6554/10087/160518/738/7436/388931/335/57605/80832/286046/23250/4792/22925/347/624/1581/2180/23230/28232/7110/6777/27329/4035/376497/1582/5360/51703/6521/24/9429/53919/80830/84162/80833/4547/3783/5465/28965/10396/1191/5727/5071/1906/5743/440503/114876/5608/1080/1066/124976/80820/222642/3690/5406/121601/23461/83850/123264/9890/1071/345274/949/27141/8322/10599/1950/407018/8660/9227/1579/654/23460/185/118471/116362/857/693120/57104/28231/225/10350/80763/81575/7274/23120/1813/10349/5468/5320/1645/84649/3569/10351/154664/32/4023/338/2587/5950/2167/63982/130399/6579/948/3973/1149/9370/114786/63924/5375/3952"
"GO:0032543","BP","GO:0032543","mitochondrial translation",128,0.566995470217727,2.30368508923587,1.4283522192183e-10,4.72844099237057e-08,3.73376281865836e-08,5976,"tags=60%, list=30%, signal=42%","9553/84311/116540/51258/28998/122704/118487/64979/51023/51649/51264/115416/64975/84300/6182/6183/63875/6150/55052/51650/219927/3396/116541/64968/57129/51081/4701/7818/78988/64928/90480/28957/54460/54998/65993/2617/64949/29088/708/51204/29074/29093/64963/11222/6472/60488/64981/51263/10102/51373/65003/57038/64983/10573/51069/80222/128308/26589/84545/28958/54534/55278/79590/64976/51021/51642/51335/51067/65080/92170/740/28977/65005/51318/55173/285367/84769"
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response",131,0.554456803842981,2.2632029313316,2.22096614871875e-10,6.78676001983479e-08,5.35909240743471e-08,2617,"tags=34%, list=13%, signal=29%","3507/3538/50615/28454/3502/2209/3539/2214/2210/3514/930/9156/3665/7292/2212/28434/28834/202309/3503/50943/3494/2207/2213/713/695/714/9103/1380/57379/3598/1604/712/54209/5788/940/9214/939/7037/51311/1235/2215/3560/3586/1378"
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway",463,0.392307829034267,1.84762718261826,2.20308711455056e-10,6.78676001983479e-08,5.35909240743471e-08,4228,"tags=33%, list=22%, signal=27%","196051/3507/11006/6279/26065/3502/2209/3539/6280/931/2214/2210/2357/973/10288/3514/930/640/26228/3665/2359/64581/28639/9212/933/115362/115352/1493/100133941/28638/51284/4068/28834/7462/80342/3503/50943/55765/54900/7305/57402/3494/81793/50852/2207/2213/9447/915/151888/84433/719/29760/3929/695/1236/28755/84868/4332/1380/146722/89857/53347/6967/7409/406941/7805/1535/3055/728/3932/917/54209/952/5788/9840/940/9214/919/11314/51311/581/91543/388325/3702/64005/3937/7097/92747/1520/8815/2220/55577/2672/647087/150372/9111/29085/257144/80231/8638/916/7353/929/1378/84233/26191/925/3071/123920/926/84885/4795/708/23643/10666/84174/2533/5058/945/3684/29126/7917/834/55024/7334/9473/2885/7535/5777/4938/6565/7070/5579/126259/3146/2625/1445/5245/148823/4067/26253/6461/1512/6895/3662/9404/30968/2358/58484/7096/4057/27040/3329"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",55,0.708718989880253,2.50780289815011,3.73689192498847e-10,1.06034308371548e-07,8.37288566651551e-08,3697,"tags=73%, list=19%, signal=59%","6170/116832/6171/51121/11224/6129/6147/9349/6144/6155/6165/6143/6168/6152/6167/6166/6157/7311/6154/6169/6176/6142/6181/25873/6158/6160/6146/6161/4736/6159/23521/6128/9045/6156/6130/6133/6164/6134/6132/55651"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",153,0.526578965647676,2.19980147926919,3.63123705341802e-10,1.06034308371548e-07,8.37288566651551e-08,4018,"tags=44%, list=20%, signal=35%","10642/6170/6171/6235/51121/6227/728689/6232/6189/11224/6129/6147/9349/6231/6144/6155/6165/6143/6168/6152/6234/6167/6223/6201/6157/6233/7311/6154/6206/6169/6210/6176/6142/6181/25873/6209/6230/6158/6224/6160/6217/3921/6146/6161/4736/6159/5315/23521/6128/200916/9045/8667/6156/2197/6205/8894/6229/6130/6133/6164/6134/6132/6208/6228/22916/6207/10605"
"GO:0019724","BP","GO:0019724","B cell mediated immunity",134,0.546764724069815,2.23763967919117,5.69098565594382e-10,1.50716270121579e-07,1.19011489506755e-07,2617,"tags=33%, list=13%, signal=29%","3507/3538/50615/28454/3502/2209/3539/2214/2210/3514/930/9156/3665/7292/2212/28434/28834/202309/3503/50943/3494/2207/2213/713/695/714/9103/1380/57379/3598/1604/712/54209/5788/940/9214/939/7037/51311/1235/2215/3560/3586/1378"
"GO:0003018","BP","GO:0003018","vascular process in circulatory system",250,-0.473569858675538,-2.02336325008084,5.59946964281387e-10,1.50716270121579e-07,1.19011489506755e-07,2757,"tags=34%, list=14%, signal=30%","9839/624/59272/3779/28232/493/4035/5286/10365/6558/376497/152/6093/2837/9353/3672/6640/143872/9429/53919/8864/10396/6338/3680/4922/6542/153/1906/5743/134/1131/5139/3356/10266/83483/482/407010/84889/8671/79987/1812/5028/9153/9475/6649/1910/2296/654/284/185/4846/857/146/6456/222962/1956/6581/552/4036/2852/1003/7010/3953/10060/3741/1908/9194/147/9590/154/387700/1816/151/7122/5021/477/554/6517/6869/4881/4842/5138/948/148/3952"
"GO:0002757","BP","GO:0002757","immune response-activating signaling pathway",441,0.391830788244851,1.83267727230438,5.93004011846603e-10,1.51981189487783e-07,1.20010319545187e-07,4228,"tags=33%, list=22%, signal=26%","196051/3507/11006/6279/26065/3502/3539/6280/931/2357/973/3514/930/640/26228/3665/2359/64581/28639/9212/933/115362/115352/1493/28638/51284/4068/28834/7462/80342/3503/50943/55765/54900/7305/57402/3494/81793/50852/2207/2213/9447/915/84433/719/29760/3929/695/1236/28755/84868/4332/1380/146722/89857/53347/6967/7409/406941/7805/1535/3055/728/3932/917/54209/952/5788/9840/940/9214/919/11314/51311/581/91543/388325/3702/64005/3937/7097/92747/1520/8815/2220/55577/2672/647087/150372/9111/29085/257144/80231/8638/916/7353/929/1378/84233/26191/925/3071/123920/926/84885/4795/708/23643/10666/84174/2533/5058/3684/29126/7917/834/55024/7334/9473/2885/7535/5777/4938/6565/7070/5579/126259/3146/2625/1445/5245/148823/4067/26253/6461/6895/3662/9404/30968/2358/58484/7096/4057/27040/3329"
"GO:0000313","CC","GO:0000313","organellar ribosome",88,0.611152080577208,2.32548591336146,9.36848603578991e-10,2.12664633012431e-07,1.67928351197918e-07,4938,"tags=62%, list=25%, signal=47%","9553/84311/116540/51258/28998/122704/118487/64979/51023/51649/51264/64975/6182/6183/63875/6150/55052/51650/219927/3396/116541/64968/57129/51081/4701/7818/78988/64928/90480/28957/54460/54998/65993/64949/29088/29074/29093/64963/11222/60488/64981/51263/51373/65003/64983/10573/51069/128308/26589/84545/54534/79590/64976/51021/51642"
"GO:0005761","CC","GO:0005761","mitochondrial ribosome",88,0.611152080577208,2.32548591336146,9.36848603578991e-10,2.12664633012431e-07,1.67928351197918e-07,4938,"tags=62%, list=25%, signal=47%","9553/84311/116540/51258/28998/122704/118487/64979/51023/51649/51264/64975/6182/6183/63875/6150/55052/51650/219927/3396/116541/64968/57129/51081/4701/7818/78988/64928/90480/28957/54460/54998/65993/64949/29088/29074/29093/64963/11222/60488/64981/51263/51373/65003/64983/10573/51069/128308/26589/84545/54534/79590/64976/51021/51642"
"GO:0140053","BP","GO:0140053","mitochondrial gene expression",161,0.512254456283032,2.15342290450457,8.8189552235847e-10,2.12664633012431e-07,1.67928351197918e-07,5976,"tags=55%, list=30%, signal=38%","9553/84311/116540/51258/28998/122704/118487/64979/51023/51649/51264/115416/64975/84300/6182/6183/63875/6150/51250/55052/51650/219927/3396/116541/64968/57129/51081/4701/7818/78988/64928/90480/28957/54460/54998/65993/2617/3028/64949/29088/708/51204/29074/29093/51001/64963/11222/6472/60488/64981/64216/51263/10102/51373/65003/57038/64983/10573/51069/80222/128308/26589/84545/28958/54534/55278/79590/64976/9692/54802/51021/51642/51335/51067/80324/65080/60493/92170/740/84275/7978/51095/28977/65005/51318/55173/285367/84769"
"GO:0045211","CC","GO:0045211","postsynaptic membrane",240,-0.473568789164901,-2.0172968953406,8.93911149643138e-10,2.12664633012431e-07,1.67928351197918e-07,2744,"tags=32%, list=14%, signal=28%","3759/57451/57528/1949/2899/23345/286/57406/2562/3092/5802/491/26232/25945/145581/2893/6640/3746/2568/1141/1607/160622/2913/869/747/2560/2894/22997/134/64084/9127/1131/2564/10142/3356/2897/3690/3749/9890/115207/1812/94030/3747/5028/577/85358/1630/23237/7402/3752/440073/5100/57502/3737/1813/287/22866/9194/1756/729956/348980/3736/6900/11141/4593/1128/2917/22871/26045/2555/2890/2567/2904/3745/401190/2891/347730/2565"
