"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045765","BP","GO:0045765","regulation of angiogenesis",269,-0.468099366682371,-2.09072094404588,1e-10,3.05431084306479e-08,2.42070649706384e-08,3603,"tags=42%, list=18%, signal=35%","1536/7453/3202/10266/1545/221074/694/4303/54583/2627/6915/3690/3716/100506013/7423/26523/10800/64094/5371/3091/3373/204851/153090/57556/388/7082/51752/7015/7424/7058/6678/719/23166/23554/641700/25817/1215/56999/2828/140862/1969/3688/30832/161742/5578/57381/90139/2022/5176/3586/3579/5587/23129/285/28984/2113/1284/10411/7098/4846/187/5797/94/9314/26051/10000/10457/154796/3791/9037/2296/7010/1003/23328/7075/63923/3339/10365/2321/407006/133/8434/8829/718/358/6422/3569/57608/5140/25960/2247/7122/9510/147372/947/51129/577/64102/7060/4881/84432/5468/84034/7048/126393/1634/10253/3952/168667/5740/51378/2277/11005"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",378,-0.447261866499811,-2.05064901532324,1e-10,3.05431084306479e-08,2.42070649706384e-08,2702,"tags=36%, list=14%, signal=32%","5549/8685/3263/1293/1297/145864/7058/8547/7052/2006/64093/1514/655/1690/6678/4240/80781/5118/3912/301/22795/1215/56999/1292/7077/2199/284297/714/7472/6279/4313/3897/3491/64129/6280/1291/140689/9508/8483/6383/5176/7482/439921/1012/10418/712/713/83872/91522/285/340267/2219/54507/9509/1490/1284/3915/10516/2/710/6275/4856/55214/1282/161198/284217/50509/2312/2192/10082/63923/6387/7078/3339/22798/127435/25890/4015/8425/6649/1842/3910/4147/2202/6422/7373/3908/8404/10319/79812/9370/4239/133584/4811/151887/8510/23452/1306/22915/136227/9510/2200/81578/11096/5803/9068/51129/8785/7060/2162/8406/8076/84034/5212/10875/1634/158326/7450/284/1805/256158/80760/4969/10218/51378/7123/869/2719/84570/2662/90187/253935/131873/25975/4653/10216/7148"
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration",416,-0.44123274037647,-2.04569250601961,1e-10,3.05431084306479e-08,2.42070649706384e-08,4688,"tags=47%, list=24%, signal=36%","4627/411/25/5048/374969/5743/100126351/5286/23411/54566/54453/8742/958/493/57449/57142/2768/4838/4089/2246/90627/64750/6662/5829/9475/7291/5547/659/27286/1954/1839/9922/340719/22846/9124/55612/406937/2050/6899/10163/2624/5728/4215/201161/6776/1948/1545/5290/3164/4902/2241/2260/5781/8828/2255/55897/4851/23603/10982/6915/3690/2039/100506013/2348/2324/9734/64094/5371/83881/3091/3373/153090/6608/57556/949/388/10501/6091/84159/7424/80031/9647/4163/7481/655/55698/5336/6678/7763/1950/4233/4208/54567/5641/8692/301/1960/5629/5793/51421/56999/9448/2196/1969/23189/9270/3688/4041/161742/5578/57381/8660/6280/5308/5176/1012/5587/23129/285/28984/2113/154810/10371/54437/3037/4846/5797/4856/94/9314/10000/1947/85360/1908/154796/3791/161198/25959/9037/7010/2822/1003/1906/23328/54345/114757/11167/6591/196740/407006/6615/8829/152007/56920/358/4223/79812/57608/8613/6663/25960/9590/2247/8823/147372/30812/9982/3397/4921/130399/9839/23500/7145/6869/1803/5468/3036/3815/7048/2252/1634/5168/9353/1910/284/9464/57124/64321/168667/7049/223117/51378/2719/84913"
"GO:0060070","BP","GO:0060070","canonical Wnt signaling pathway",296,-0.453581140777586,-2.0308137395784,1e-10,3.05431084306479e-08,2.42070649706384e-08,4259,"tags=39%, list=22%, signal=31%","4089/54475/64750/6662/1500/89780/3487/27130/6934/9113/139285/55612/406937/169200/5728/79809/8658/51339/324/6206/2255/55897/84133/4851/2487/219771/151195/8313/2348/27122/85407/25928/79960/153090/2262/8796/22881/27123/5218/4163/7481/65268/83439/7480/85458/92162/1950/25937/26524/84327/120892/2735/10413/147111/2254/100113407/23189/27121/7472/4041/23072/7855/1291/7091/8324/7482/414194/83999/8321/9096/57664/2308/9314/26108/83595/7088/1601/84870/9037/80114/2297/1896/1906/55366/63923/6591/8326/8434/388336/27303/6615/6422/51704/8322/5071/11211/7475/4811/152573/1958/6663/25960/857/2247/9839/23500/3489/650/6424/1956/1910/284654/64321/6425/2719/3484"
"GO:0032838","CC","GO:0032838","plasma membrane bounded cell projection cytoplasm",252,0.485232449018851,2.0282560847758,1.00179398872915e-10,3.05431084306479e-08,2.42070649706384e-08,3370,"tags=33%, list=17%, signal=27%","1767/27019/388701/4747/6101/54777/93233/25876/1063/80128/123872/24137/25790/85452/115948/26074/3800/547/389799/134121/8382/89876/138162/89765/64518/50632/26150/158067/1135/3798/51314/56171/55036/5874/220136/51473/83450/80217/27285/54768/339778/3315/158297/89891/150483/7802/81492/388389/10382/2899/23162/100128569/129881/85478/146754/127003/1769/254050/4117/257236/146845/154313/83853/55259/440585/84058/26206/283726/80127/10947/3208/83538/4137/5905/80258/57096/9742/8632/339451/11127/55054/84871"
"GO:0010631","BP","GO:0010631","epithelial cell migration",299,-0.438980239105475,-1.97517046617275,1e-10,3.05431084306479e-08,2.42070649706384e-08,4688,"tags=47%, list=24%, signal=36%","4627/411/25/374969/5743/100126351/5286/23411/54566/54453/8742/958/493/57449/57142/4089/2246/90627/6662/5829/9475/5547/659/27286/1839/9922/340719/22846/55612/2050/2624/5728/4215/6776/1948/1545/5290/3164/2260/5781/8828/2255/4851/23603/10982/6915/3690/2324/9734/64094/3091/3373/153090/949/388/6091/7424/9647/4163/5336/6678/1950/4233/4208/54567/5641/301/1960/5629/5793/56999/9448/2196/1969/23189/9270/3688/161742/5578/57381/8660/6280/5176/1012/5587/23129/285/28984/2113/3037/4846/5797/4856/94/9314/10000/154796/3791/161198/25959/9037/7010/2822/1003/1906/23328/54345/11167/6591/196740/407006/6615/8829/152007/4223/79812/57608/8613/25960/2247/8823/147372/9982/3397/9839/23500/6869/1803/5468/3815/7048/2252/1634/5168/9353/284/168667/7049/51378/84913"
"GO:0008015","BP","GO:0008015","blood circulation",464,-0.420903016104636,-1.96245231076676,1e-10,3.05431084306479e-08,2.42070649706384e-08,3347,"tags=39%, list=17%, signal=33%","91807/2865/6324/3269/8864/100/6326/125111/2627/6915/2837/80763/1824/7220/5592/3816/6196/100506013/7423/6640/10800/80852/3753/5465/7082/51752/5997/7424/7067/6327/9732/952/4012/1816/11149/55800/152/6331/150/2006/5142/7068/719/128/4635/1727/6909/1215/10979/257313/491/10052/3356/6518/817/6648/2828/1131/8913/6546/8862/9270/6323/3688/4041/55151/1579/11280/4313/10242/27345/3759/2852/6846/3680/6328/5125/2982/6444/8850/3579/9096/145741/2313/4634/3270/5443/1756/2257/2983/710/4846/94/120/146/8654/1908/10659/2296/6910/1193/4883/654/30819/7010/10391/1003/1906/59272/2934/6387/196740/10365/6330/1813/6446/143872/274/133/5608/83483/151/859/781/3751/6649/83988/27129/482/3764/845/4842/477/554/6335/148/9370/23630/147/3672/8870/3043/9590/857/287/7122/185/2034/3741/9839/5348/4881/5139/6869/29119/3768/5468/1268/56670/5028/84034/6445/5350/9353/3952/1956/1910/9365/284/154/5138/6329/79987/1674/552/10060/6332/10345/5021"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",299,0.461836877026548,1.95644381859404,1e-10,3.05431084306479e-08,2.42070649706384e-08,3621,"tags=31%, list=18%, signal=26%","56154/126353/29128/259266/4751/83540/1063/7153/9928/51412/24137/146909/11065/285643/57082/5347/699/57405/644186/4605/22974/90990/9212/9700/9493/64151/101928601/10615/332/9787/51203/151648/1062/990/221150/56155/11130/10403/3832/701/11004/147872/55143/9319/81610/983/23397/9134/147841/9055/347688/6790/113130/84722/1731/10609/83990/9232/116028/2491/4085/10460/81930/9735/891/9184/64105/29127/56159/991/283129/26993/7272/83903/3835/2177/7517/7283/10051/79884/1894/9133/29098/84057/152185/9985/245711/10734/11243/284071/158401/196528/4438"
"GO:0034329","BP","GO:0034329","cell junction assembly",417,-0.421155785765882,-1.95454277765169,1e-10,3.05431084306479e-08,2.42070649706384e-08,3902,"tags=40%, list=20%, signal=32%","51225/1946/56940/7414/2824/11141/5908/84525/3678/5728/89/56288/10266/324/3909/1006/56126/402/84628/613/2241/1015/23603/125111/3690/2039/5906/2049/5802/1398/2705/57463/204851/56131/266727/55203/56123/11178/7082/22998/80823/9647/7058/7481/7094/6622/84623/9693/4208/2561/5583/56133/26045/55901/5010/6386/23077/10979/10052/2048/9448/23767/57502/1969/3655/2701/9270/79983/149461/7368/26167/7855/83660/4131/51208/5578/11037/11170/57717/90102/90952/10718/85358/6585/140689/51201/9379/23136/8321/1002/1826/83700/257194/1012/23129/23768/92737/5911/2042/94030/3915/79834/137075/10580/54674/187/56130/94/165257/119/10395/1828/347/3791/6910/9075/26050/7010/10391/1003/221935/28316/59272/22899/4915/4884/6591/2047/1813/9073/6615/8829/26280/387804/2564/5175/6422/1004/3764/1010/2596/857/287/7122/395/2567/577/56125/7145/23284/9378/151306/145581/9071/2890/2555/22871/5457/1005/869/2565/5021/28513/347730/4653"
"GO:0031589","BP","GO:0031589","cell-substrate adhesion",338,-0.428940242769668,-1.94578038121242,1e-10,3.05431084306479e-08,2.42070649706384e-08,4094,"tags=41%, list=21%, signal=33%","5829/9475/340485/2316/7070/25992/1946/56940/3693/7414/55612/11078/4091/182/2824/146183/3678/5728/89/4771/7412/11117/9358/402/30008/613/2241/29780/57091/10085/1281/4851/23603/55679/3690/81848/2039/55966/3232/84168/59339/2049/1398/2294/22998/2633/3204/9647/10174/11149/7094/55698/9341/3912/55901/8499/22795/10979/8910/56999/8516/9448/2196/3655/2199/23189/9270/3688/3897/6614/11037/3491/11170/90102/4241/3680/1435/8324/5295/558/83700/1012/285/2042/55742/1490/3915/79625/10516/79834/3037/1021/10580/10461/94/10395/347/1601/3791/50509/7010/7402/10391/1896/7301/2192/63923/2047/25890/8829/1842/683/6422/482/8322/3679/133584/3672/4811/151887/340533/56477/6376/136227/395/947/54749/5212/158326/7450/284/79987/948/10894/25975/4653/7148"
"GO:0030312","CC","GO:0030312","external encapsulating structure",494,-0.411124291920548,-1.92780347874496,1e-10,3.05431084306479e-08,2.42070649706384e-08,2705,"tags=35%, list=14%, signal=31%","114794/5549/25903/8685/3263/1293/1297/145864/7058/7481/8547/7052/2006/64093/1514/655/1690/6678/4240/80781/5118/3912/9865/301/22795/121227/1215/4327/56999/23767/1292/392617/169611/7077/2199/284297/10234/714/57188/7472/7980/6279/4313/3897/3491/64129/6280/1291/64066/140689/9508/8483/6383/5176/7482/439921/10417/1012/10418/712/713/83872/91522/285/23768/340267/2219/54507/9509/1490/249/1284/3915/79625/10516/2/7098/710/54674/6275/4856/170692/55214/1282/161198/284217/50509/2822/2312/93035/2192/4958/10082/63923/6387/7078/3339/22798/127435/25890/4015/8425/6649/5266/1842/3910/4147/2202/6422/7373/3908/8404/10319/79812/9370/7475/2615/4239/133584/4811/151887/8510/23452/1306/22915/136227/9510/2200/147372/81578/11096/5803/9068/51129/8785/7060/2162/8406/8076/84034/5212/10875/1634/158326/116135/7079/7450/284/1805/256158/8839/57124/168667/80760/4969/10218/5649/51378/7123/869/2719/84570/2662/60495/90187/253935/131873/25975/347730/4653/10216/7148"
"GO:0031012","CC","GO:0031012","extracellular matrix",493,-0.409785807466999,-1.92148803825678,1e-10,3.05431084306479e-08,2.42070649706384e-08,2705,"tags=35%, list=14%, signal=31%","114794/5549/25903/8685/3263/1293/1297/145864/7058/7481/8547/7052/2006/64093/1514/655/1690/6678/4240/80781/5118/3912/9865/301/22795/121227/1215/4327/56999/23767/1292/392617/169611/7077/2199/284297/10234/714/57188/7472/7980/6279/4313/3897/3491/64129/6280/1291/64066/140689/9508/8483/6383/5176/7482/439921/10417/1012/10418/712/713/83872/91522/285/23768/340267/2219/54507/9509/1490/249/1284/3915/79625/10516/2/7098/710/54674/6275/4856/170692/55214/1282/161198/284217/50509/2822/2312/2192/4958/10082/63923/6387/7078/3339/22798/127435/25890/4015/8425/6649/5266/1842/3910/4147/2202/6422/7373/3908/8404/10319/79812/9370/7475/2615/4239/133584/4811/151887/8510/23452/1306/22915/136227/9510/2200/147372/81578/11096/5803/9068/51129/8785/7060/2162/8406/8076/84034/5212/10875/1634/158326/116135/7079/7450/284/1805/256158/8839/57124/168667/80760/4969/10218/5649/51378/7123/869/2719/84570/2662/60495/90187/253935/131873/25975/347730/4653/10216/7148"
"GO:0044057","BP","GO:0044057","regulation of system process",485,-0.409008245458965,-1.91459908649259,1e-10,3.05431084306479e-08,2.42070649706384e-08,3773,"tags=40%, list=19%, signal=33%","2149/84525/23493/5728/89/56288/57616/801/11076/57190/10398/57817/10062/23171/3164/2260/5781/2255/6324/9759/3269/8864/4851/100/125111/6915/23175/5575/80763/1824/51083/7220/5592/100506013/3625/6640/8013/1264/10800/1408/3753/56729/5465/79068/5997/7067/6327/66000/9294/9732/952/11149/55800/152/6331/150/5142/51762/90523/7068/4635/6909/1959/7125/120892/4660/491/10052/3356/3488/817/1131/8913/57502/6546/8862/3688/55151/2904/389827/6442/4313/10242/668/5578/27345/3759/2852/3680/85358/114897/2982/2911/9096/5587/5152/4634/11343/3270/5443/1756/23345/2257/4846/2308/4856/120/146/27242/8654/1908/1601/7133/10659/6910/1193/654/9472/58494/30819/10391/1906/59272/390594/6330/1813/6446/143872/274/133/151/859/781/7222/3751/2171/27129/358/28954/100507537/1582/482/3479/3764/845/4842/7140/477/554/148/9370/23630/147/55273/118738/6663/32/857/287/10810/185/2034/3741/5348/4881/93649/1393/6869/29119/3768/5468/9378/3815/5350/3952/1956/1910/9464/154/6329/9312/22871/79987/1588/5649/1674/552/10060/869/10345/5021/221476/3736/2587"
"GO:0006869","BP","GO:0006869","lipid transport",386,-0.414897464895959,-1.90472772361629,1e-10,3.05431084306479e-08,2.42070649706384e-08,3939,"tags=37%, list=20%, signal=30%","10087/80148/23760/5660/51474/406937/84162/58488/4547/366/28232/55754/29015/5007/23673/8542/124976/80830/738/2173/10062/114884/27183/5781/57488/3988/3690/80763/51083/55867/2760/5359/24/1408/114876/1191/56729/4481/5465/949/5444/3783/5321/54832/23200/23250/1950/196527/23461/5243/388121/81537/1579/4828/345274/11309/286410/57048/57540/79895/8660/1815/22925/114897/57605/1066/80833/51703/26207/83394/10257/57088/8600/5322/2180/5443/7436/2170/1581/9429/347/1601/1149/123/123264/654/1906/19/63924/1071/53919/10396/4035/1813/8792/5608/116362/10349/2171/51454/1582/8322/3764/5071/5727/9370/3929/5320/5950/857/23460/80820/28231/80832/185/2167/225/154664/23120/5468/5360/121601/3952/1381/10350/81575/9890/114786/1645/63982/1588/3973/338/3990/948/10351/6579/5406/10599/5375/2587"
"GO:0042330","BP","GO:0042330","taxis",393,-0.406305911779809,-1.87402855994764,1e-10,3.05431084306479e-08,2.42070649706384e-08,3417,"tags=38%, list=17%, signal=32%","200576/659/1954/1839/51119/2242/1946/23521/4908/5595/23075/10344/7412/3084/1511/1948/7941/3164/2241/2260/8828/2255/4851/9023/3690/347733/152189/7423/5919/2359/1398/10800/64094/4046/6288/1436/57556/10501/6091/7424/80031/1230/9647/9732/5142/196527/4233/719/245937/5641/641700/301/1960/6375/23077/5337/91584/11251/23767/1969/94233/2919/6279/4313/4354/3897/116173/3491/6280/10718/6846/3680/4681/1435/6585/3586/4858/9034/3579/1826/83700/79890/1012/5587/285/8600/23768/55742/10371/54437/6374/80310/6275/1240/4856/10457/5156/1908/57007/154796/3791/9037/1906/5159/6387/2358/2047/2321/1238/8792/4015/8829/3082/56920/3592/683/3569/5288/64805/1843/3672/1902/3929/56477/25960/2247/8823/6376/11240/185/7060/2921/51554/1901/1803/6372/56670/9420/3815/2252/5168/9353/1910/284/6586/2920/223117/1588/55079/6357/2277"
"GO:0010876","BP","GO:0010876","lipid localization",432,-0.402328535492906,-1.87191470174605,1e-10,3.05431084306479e-08,2.42070649706384e-08,3939,"tags=35%, list=20%, signal=29%","10087/80148/23760/5660/51474/406937/84162/58488/57146/4547/366/28232/55754/29015/5007/23673/8542/6777/124976/80830/738/2173/10062/114884/27183/5781/57104/57488/3988/3690/80763/51083/55867/2760/5359/24/1408/114876/1191/56729/4481/5465/949/5444/79068/3783/5321/54832/23200/23250/1950/196527/23461/5243/388121/81537/1579/4828/345274/11309/286410/57048/57540/79895/8660/1815/22925/114897/57605/1066/80833/51703/26207/83394/10257/57088/8600/5322/2180/5443/7436/2170/1581/9429/347/1601/1149/123/123264/654/1906/19/63924/1071/53919/10396/4035/1813/8792/84649/5608/116362/10349/2171/51454/718/3569/1582/8322/3764/5071/5727/9370/3929/5320/5950/32/857/23460/80820/28231/80832/185/2167/225/154664/130399/23120/5468/5360/121601/3952/4023/1381/10350/81575/9890/114786/1645/63982/1588/3973/338/3990/948/10351/6579/5406/10599/5375/2587"
"GO:0006935","BP","GO:0006935","chemotaxis",392,-0.404904866495857,-1.8628523180666,1.0379659252706e-10,3.05431084306479e-08,2.42070649706384e-08,3417,"tags=38%, list=17%, signal=32%","200576/659/1954/1839/51119/2242/1946/23521/4908/5595/23075/10344/7412/3084/1511/1948/7941/3164/2241/2260/8828/2255/4851/9023/3690/347733/152189/7423/5919/2359/1398/10800/64094/4046/6288/1436/57556/10501/6091/7424/80031/1230/9647/9732/5142/196527/4233/719/245937/5641/641700/301/1960/6375/23077/5337/91584/11251/23767/1969/2919/6279/4313/4354/3897/116173/3491/6280/10718/6846/3680/4681/1435/6585/3586/4858/9034/3579/1826/83700/79890/1012/5587/285/8600/23768/55742/10371/54437/6374/80310/6275/1240/4856/10457/5156/1908/57007/154796/3791/9037/1906/5159/6387/2358/2047/2321/1238/8792/4015/8829/3082/56920/3592/683/3569/5288/64805/1843/3672/1902/3929/56477/25960/2247/8823/6376/11240/185/7060/2921/51554/1901/1803/6372/56670/9420/3815/2252/5168/9353/1910/284/6586/2920/223117/1588/55079/6357/2277"
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",205,-0.484778830404118,-2.09438912564828,1.31467263057176e-10,3.48169134996421e-08,2.75942865827378e-08,2845,"tags=40%, list=15%, signal=35%","118442/5731/196883/5997/8685/9294/1816/152/150/5142/9693/7432/111/57561/2550/11251/2828/1131/5746/976/1395/5567/3355/5064/9340/5578/1815/2781/2852/799/10203/2911/23266/5734/6344/109/56246/5744/146/11245/2869/23566/5745/2835/1906/19/55366/1128/2358/1813/133/64123/151/57211/2779/222487/4842/554/148/64805/54331/147/1902/9590/2770/5732/577/5737/1901/221395/1268/23284/5028/5350/54112/114/154/5138/283383/3973/117/2587"
"GO:0003018","BP","GO:0003018","vascular process in circulatory system",250,-0.458726220122917,-2.02686846806123,1.29918763245327e-10,3.48169134996421e-08,2.75942865827378e-08,3256,"tags=42%, list=17%, signal=36%","10991/3363/613/91807/3269/8864/6915/2837/5592/6526/54407/6640/10800/80852/4037/7082/5997/387700/6566/9732/952/1816/152/150/10979/222962/257313/5243/3356/6507/6648/2828/1131/6546/9270/6567/3688/11309/4313/10242/27345/2852/3680/2982/8850/3579/10257/145741/4846/120/146/9429/1908/2296/654/7010/1003/1906/9194/59272/53919/10396/196740/10365/6517/4035/143872/133/83483/151/6649/2171/482/3764/4842/477/554/148/147/3672/3043/84889/9590/857/7122/185/3741/9839/4881/3953/5139/6869/5028/6581/9353/3952/1956/1910/284/154/5138/79987/552/10060/948/5021"
"GO:0198738","BP","GO:0198738","cell-cell signaling by wnt",435,-0.39451204632891,-1.83529237083004,1.28521533319831e-10,3.48169134996421e-08,2.75942865827378e-08,3326,"tags=29%, list=17%, signal=24%","2255/55897/84133/4851/2487/219771/151195/8313/2348/27122/85407/25928/79960/153090/64359/2262/7015/65062/8796/22881/27123/2300/5218/4163/7481/65268/83439/7480/85458/56033/5336/92162/1950/25937/26524/84327/10979/120892/2735/51421/10413/11197/147111/6497/2254/100113407/23189/27121/7472/4041/23072/7855/1291/7091/8324/29969/7482/414194/83999/8321/9096/57664/154810/57447/2308/9314/26108/83595/7088/1601/84870/9037/80114/2297/2869/4286/1896/1906/55366/63923/5311/3090/6591/8326/4035/1813/8434/388336/27303/6615/4919/8532/1363/6422/4139/51704/8322/8613/5071/11211/7475/4811/152573/1958/6663/25960/857/2247/147495/9839/23500/3489/650/6424/1956/1910/284654/64321/164284/6425/2719/28999/4653/3484"
"GO:0016055","BP","GO:0016055","Wnt signaling pathway",434,-0.394942244197666,-1.83303421103666,1.39332107697542e-10,3.57094708276441e-08,2.83016865279013e-08,3326,"tags=29%, list=17%, signal=24%","2255/55897/84133/4851/2487/219771/151195/8313/2348/27122/85407/25928/79960/153090/64359/2262/7015/65062/8796/22881/27123/2300/5218/4163/7481/65268/83439/7480/85458/56033/5336/92162/1950/25937/26524/84327/10979/120892/2735/51421/10413/11197/147111/6497/2254/100113407/23189/27121/7472/4041/23072/7855/1291/7091/8324/29969/7482/414194/83999/8321/9096/57664/154810/57447/2308/9314/26108/83595/7088/1601/84870/9037/80114/2297/2869/4286/1896/1906/55366/63923/5311/3090/6591/8326/4035/1813/8434/388336/27303/6615/4919/8532/1363/6422/4139/51704/8322/8613/5071/11211/7475/4811/152573/1958/6663/25960/857/2247/147495/9839/23500/3489/650/6424/1956/1910/284654/64321/164284/6425/2719/28999/4653/3484"
