"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05224","hsa05224","Breast cancer",131,-0.401537293648176,-1.62721777241196,0.000657361281826409,0.00784200575618148,0.00558268739563878,4286,"tags=40%, list=22%, signal=32%","2100/2246/3714/89780/6934/182/5595/23493/5728/26508/324/4853/5290/2260/2255/4616/4851/8313/2324/6654/7481/83439/7480/1950/23462/54567/4854/2254/7472/4041/7855/8324/5295/7482/8321/3725/8600/1021/2353/10000/4609/53358/8326/3479/8322/11211/7475/2247/8823/3815/2252/1956/4855"
"hsa04936","hsa04936","Alcoholic liver disease",120,-0.405976425203052,-1.62781436831341,0.000704758122470214,0.00786601001208691,0.00559977591368523,4829,"tags=40%, list=25%, signal=30%","34/4792/1374/2309/23411/355/5562/3654/501/31/6934/9663/23118/7189/23643/23417/23175/51/5465/83439/5602/124/719/128/10891/714/2919/4217/712/713/217/2308/10000/929/127/5608/3592/718/3569/9370/130/7099/3929/32/2921/125/2920/126"
"hsa05416","hsa05416","Viral myocarditis",53,-0.522174587122081,-1.82282418804731,0.000748043392287095,0.00808821917910421,0.00575796558536777,2297,"tags=34%, list=12%, signal=30%","2534/6443/8910/6442/3117/6444/1756/284217/6645/5551/859/3908/4842/6641/3123/857/6445/3127"
"hsa04024","hsa04024","cAMP signaling pathway",199,-0.353092559765367,-1.50219865596827,0.000973196792806711,0.0102038209185189,0.00726405261616493,2963,"tags=32%, list=15%, signal=28%","51/2891/64411/5465/196883/1259/3776/1816/11149/5142/5602/2893/7432/5337/111/2735/2550/491/817/1395/5567/2892/64399/22800/3355/2904/116443/5295/54714/3725/10257/338442/5443/10846/109/10411/2353/10000/1908/84152/1906/1128/9586/1813/482/477/5727/5140/6751/3991/2770/5732/5348/4881/5139/56670/5350/114/2890/154/51806/3973/117/5021"
"hsa05323","hsa05323","Rheumatoid arthritis",71,-0.459770591614047,-1.69119453921996,0.00125899666224157,0.0128121425039878,0.00912090461190489,1955,"tags=28%, list=10%, signal=25%","2919/3117/1435/3725/8600/6374/2353/7010/6387/2321/8792/3569/7099/3123/2921/6372/284/2920/50617/3127"
"hsa05145","hsa05145","Toxoplasmosis",94,-0.431159299285519,-1.66540423920437,0.00136660069770214,0.0131345511501373,0.00935042582638309,3760,"tags=31%, list=19%, signal=25%","5595/23118/7189/23643/3909/3119/2775/3716/5602/3912/3655/3688/3117/3459/3586/3915/10000/8651/284217/22798/5608/3592/3910/3908/10319/7099/3123/2770/3127"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",214,-0.336571617353131,-1.4476521211923,0.00135867197170432,0.0131345511501373,0.00935042582638309,2016,"tags=25%, list=10%, signal=22%","3601/2919/8793/60401/6846/970/1435/282618/53833/3459/3586/8808/3579/8600/85480/6374/94/27242/653/57007/7133/9173/7850/654/10913/1896/6387/90865/943/8792/3592/53342/1271/3569/3554/56477/6376/130399/2921/51554/3953/1440/6372/650/651/7048/3952/2920/2690/3977/8200/6357/2662"
"hsa04910","hsa04910","Insulin signaling pathway",127,-0.388264955261195,-1.57093682843356,0.00162117768363122,0.0151602021226055,0.010792477324885,5480,"tags=45%, list=28%, signal=33%","208/2872/867/5563/4893/53632/808/6194/3101/5509/868/79660/5257/5500/673/3099/89801/3632/5501/5562/5604/5836/3667/2889/31/5573/5595/801/5834/5290/5575/1398/6654/5602/10891/23433/5577/8835/5567/2998/8660/5295/9021/80201/10580/2308/10000/8651/5837/53358/6517/5105/5140/32/3991/51806/8471"
"hsa04213","hsa04213","Longevity regulating pathway - multiple species",54,-0.492279257361297,-1.71650427685186,0.00171093463118101,0.0153229384431617,0.0109083285540002,3516,"tags=39%, list=18%, signal=32%","2309/23411/5562/3667/113/5290/1410/196883/1979/111/6648/5567/8660/5295/109/2308/10000/847/3479/114/8471"
"hsa04211","hsa04211","Longevity regulating pathway",82,-0.440899304491413,-1.65699094198212,0.00172715202105002,0.0153229384431617,0.0109083285540002,2360,"tags=27%, list=12%, signal=24%","113/5290/27244/196883/10891/111/6648/5567/8660/5295/109/2308/10000/143686/9586/847/3479/9370/5468/9365/114/8471"
"hsa00071","hsa00071","Fatty acid degradation",42,-0.516603979429668,-1.71543799188288,0.00244696507628646,0.0206527075765048,0.0147025663915489,5086,"tags=62%, list=26%, signal=46%","3032/1376/34/1374/10455/35/501/38/3030/3033/51/1962/124/128/10449/51703/2180/217/2182/23205/113612/127/33/130/125/126"
"hsa04360","hsa04360","Axon guidance",176,-0.346797981600136,-1.44856416097043,0.00244728615790953,0.0206527075765048,0.0147025663915489,4196,"tags=39%, list=21%, signal=31%","64101/4775/9475/5533/659/2242/1946/4773/2050/151449/5595/56288/10398/1948/84628/5290/8440/5781/7220/2049/4690/6608/57556/10501/6091/80031/84552/655/5336/7223/4233/2043/2534/2048/91584/817/1969/3688/3897/5578/6585/5295/3983/1630/2042/1073/10371/54437/22885/1947/2051/5063/1808/9037/91653/6387/2047/7222/8829/56920/5727/2044/2770/285220/56963/7225/9353/6586/223117"
"hsa04630","hsa04630","JAK-STAT signaling pathway",122,-0.386050043081286,-1.55367387142394,0.00274392475678111,0.0226047134725301,0.0160921903029268,3601,"tags=35%, list=18%, signal=29%","6777/6776/3559/5290/5781/9655/58985/3716/3595/3590/896/6654/1439/3598/1950/8835/3601/30837/282618/53833/3459/5295/3586/9021/894/85480/10000/5156/4609/8651/5159/3592/1271/3569/3953/1440/316/3952/1956/2273/2690/3977/116379"
"hsa04152","hsa04152","AMPK signaling pathway",114,-0.37227962385335,-1.47263110227324,0.0029960204879764,0.0241075136939496,0.0171620267854707,2708,"tags=22%, list=14%, signal=19%","5521/5519/81617/10891/5209/2998/8660/5295/2308/10000/1149/6517/9586/5105/5207/3479/148/9370/32/3991/3953/5468/3952/8471/948"
"hsa04380","hsa04380","Osteoclast differentiation",122,-0.381804800359286,-1.5365887219382,0.00314546643934535,0.0247348042730339,0.0176085920288711,5360,"tags=47%, list=27%, signal=34%","2214/7040/7132/2212/1385/4772/5534/10288/3937/6772/4792/3460/5532/7305/54209/5604/3454/7006/9103/5533/3727/4773/5595/169200/23118/7189/2213/5290/3726/3690/3716/4688/1513/1436/5602/5336/2534/2354/1435/3459/799/5295/3725/8600/9021/140885/2353/10000/8651/4286/8792/5608/10326/3554/2215/5468/7048"
"hsa05144","hsa05144","Malaria",44,-0.518008960017181,-1.73402266823734,0.00330125446761087,0.0253829787954081,0.0180700244542911,1706,"tags=43%, list=9%, signal=40%","7058/4233/6383/3586/3040/2532/4035/3039/3082/5175/3592/2995/3569/6403/7099/3043/7060/1440/948"
"hsa00620","hsa00620","Pyruvate metabolism",43,-0.501255132229193,-1.67910255067438,0.00385128130999322,0.0286756034426812,0.0204140286145038,2617,"tags=42%, list=13%, signal=36%","501/38/31/4190/55902/197257/124/128/5091/4199/3945/217/127/5105/130/32/125/126"
"hsa05226","hsa05226","Gastric cancer",130,-0.372902918277516,-1.50720059860878,0.00389524093007519,0.0286756034426812,0.0204140286145038,3572,"tags=30%, list=18%, signal=25%","324/5290/2255/4616/1015/8313/6654/7015/5915/7481/1030/83439/7480/1950/4233/5243/2254/7472/4041/7855/8324/5295/7482/8321/10000/4609/53358/8326/3082/8322/11211/7475/2247/8823/29119/7048/2252/6258/1956"
"hsa04916","hsa04916","Melanogenesis",94,-0.405890911880133,-1.56780207783959,0.00447729930293219,0.0322738658086362,0.0229756148439941,3903,"tags=37%, list=20%, signal=30%","6934/5332/5595/801/113/2775/434/196883/7481/83439/7480/111/7306/817/5567/7472/7855/5578/8324/7482/23236/8321/5443/109/4286/1906/8326/8322/11211/7475/2770/3815/1910/114/51806"
"hsa05218","hsa05218","Melanoma",62,-0.445981244004017,-1.59408091583004,0.00562833479164766,0.0397107987138805,0.0282699327625435,3760,"tags=37%, list=19%, signal=30%","5595/5728/5290/2260/2255/4616/1950/4233/56034/2254/5295/1021/80310/10000/5156/4286/5159/3082/3479/2247/8823/2252/1956"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",215,-0.319785906436897,-1.37616520708516,0.00573855472743938,0.0397107987138805,0.0282699327625435,2601,"tags=28%, list=13%, signal=25%","1293/11155/1297/7058/7094/2006/4635/22795/6443/7125/8910/8516/1292/3655/2199/3688/6442/83660/1291/3680/7431/6383/6444/25802/4634/1756/1284/23345/1282/284217/50509/6645/29767/2192/8736/1730/3339/7111/114793/3908/482/7140/477/3679/3672/4811/6641/287/2200/6711/7060/23500/161176/171024/1634/6445/2318/2273/56776/1674/131873"
"hsa04514","hsa04514","Cell adhesion molecules",133,-0.365190879253368,-1.48293652119657,0.00617255036946601,0.0418765181928478,0.0298116983788451,2274,"tags=30%, list=12%, signal=27%","5010/8516/57502/3655/149461/3688/3384/3897/3117/6614/51208/90952/3680/9379/6383/1002/83700/257194/80380/94030/137075/5797/9075/26050/58494/1003/57863/9073/25945/5175/6403/64115/3123/7122/947/9378/9071/22871/3127/4359"
"hsa04068","hsa04068","FoxO signaling pathway",125,-0.366897443238456,-1.48938972250847,0.00657509485888088,0.0437496696379382,0.0311451861736463,4665,"tags=36%, list=24%, signal=28%","2309/26260/1263/23411/5562/5604/116986/3667/5934/4089/604/10110/5595/5728/5290/102800317/4616/4303/11067/6654/23710/1030/5602/1950/6648/80854/5896/8660/5295/2911/3586/894/2308/10000/10365/6517/6446/847/5105/3569/3479/1901/7048/1956/8471"
"hsa03460","hsa03460","Fanconi anemia pathway",51,0.489221815881379,1.61283058593856,0.00750895432424583,0.0490207206828124,0.0348976228773292,6503,"tags=61%, list=33%, signal=41%","29089/197342/55215/83990/641/116028/672/9894/5888/146956/2177/2175/675/84464/80010/2189/201254/84126/3280/80233/353497/8940/378708/5395/2188/80198/4292/91442/79728/6119/2176"
